Year,FED Id,FED Name,Winning Pid,Population,Electors,Total Ballots,Valid Ballots,LIB,CPC,NDP,BQ,GRN,OTH
2011,10001,Avalon,LIB,78381,64424,36574,36408,16008,14749,5157,0,218,276
2011,10002,Bonavista--Gander--Grand Falls--Windsor,LIB,86394,69936,31308,31157,17977,8595,4306,0,279,0
2011,10003,Humber--St. Barbe--Baie Verte,LIB,73171,59109,30111,30014,17119,7559,4751,0,253,332
2011,10004,Labrador,CPC,26364,20305,10744,10692,4177,4256,2120,0,139,0
2011,10005,Random--Burin--St. George's,LIB,71219,57556,26128,26008,12914,8322,4465,0,307,0
2011,10006,St. John's East,NDP,88002,76424,44208,44072,3019,9198,31388,0,467,0
2011,10007,St. John's South--Mount Pearl,NDP,81938,67025,39093,38985,11130,8883,18681,0,291,0
2011,11001,Cardigan,LIB,35067,27581,21238,21130,10486,8107,2164,0,373,0
2011,11002,Charlottetown,LIB,32174,26760,18581,18468,7292,6040,4632,0,417,87
2011,11003,Egmont,CPC,34814,27197,19308,19153,5997,10467,2369,0,320,0
2011,11004,Malpeque,LIB,33796,26918,20384,20294,8605,7934,2970,0,785,0
2011,12001,Cape Breton--Canso,LIB,71968,57331,35812,35476,16478,10873,6984,0,1141,0
2011,12002,Central Nova,CPC,72966,57963,38251,38025,5614,21593,9412,0,1406,0
2011,12007,Cumberland--Colchester--Musquodoboit Valley,CPC,87895,69188,40367,40111,7264,21041,9322,0,2109,375
2011,12003,Dartmouth--Cole Harbour,NDP,87886,70756,43478,43223,15181,10702,15678,0,1662,0
2011,12004,Halifax,NDP,89448,73357,46228,45987,11793,8276,23746,0,2020,152
2011,12005,Halifax West,LIB,88756,72862,45421,45182,16230,13782,13239,0,1931,0
2011,12006,Kings--Hants,LIB,81531,65355,40364,40164,15887,14714,8043,0,1520,0
2011,12008,Sackville--Eastern Shore,NDP,86963,70329,41826,41580,4673,12662,22483,0,1762,0
2011,12009,South Shore--St. Margaret's,CPC,82855,67296,41879,41597,7037,17948,15033,0,1579,0
2011,12010,Sydney--Victoria,LIB,76801,60719,37330,37051,14788,14023,7049,0,1191,0
2011,12011,West Nova,CPC,86393,67938,43310,42954,15632,20204,5631,0,1487,0
2011,13001,Acadie--Bathurst,NDP,78948,66298,46609,46014,6491,7456,32067,0,0,0
2011,13002,Beauséjour,LIB,76259,63267,45054,44520,17399,14811,10397,0,1913,0
2011,13003,Fredericton,CPC,85886,69732,44798,44591,10336,21573,10626,0,1790,266
2011,13004,Fundy Royal,CPC,69471,56795,36714,36476,3668,21206,9845,0,1757,0
2011,13005,Madawaska--Restigouche,CPC,62593,50966,35574,34997,12309,14224,6562,0,612,1290
2011,13006,Miramichi,CPC,53844,43547,31092,30744,6800,16112,7097,0,735,0
2011,13007,Moncton--Riverview--Dieppe,CPC,89334,75298,49075,48724,15247,17408,14053,0,2016,0
2011,13008,New Brunswick Southwest,CPC,63232,49578,32083,31895,4320,18066,7413,0,1646,450
2011,13009,Saint John,CPC,82078,64264,37289,37113,5964,18456,11382,0,1017,294
2011,13010,Tobique--Mactaquac,CPC,68352,53073,33920,33664,5337,21108,6388,0,831,0
2011,24046,Abitibi--Baie-James--Nunavik--Eeyou,NDP,80894,59325,31648,31168,3282,7089,13961,5615,1221,0
2011,24001,Abitibi--Témiscamingue,NDP,102795,82079,49005,48351,2859,4777,24763,15258,694,0
2011,24002,Ahuntsic,BQ,100471,73254,47400,46884,13087,3770,14200,14908,620,299
2011,24003,Alfred-Pellan,NDP,104765,84630,55617,54872,12070,6157,23098,12504,798,245
2011,24004,Argenteuil--Papineau--Mirabel,NDP,111534,96723,59055,58279,7135,6497,25802,16880,1506,459
2011,24054,Bas-Richelieu--Nicolet--Bécancour,BQ,91745,77290,50790,49732,5024,6478,17705,19046,1479,0
2011,24005,Beauce,CPC,103617,84941,53531,52850,5833,26799,15831,3535,852,0
2011,24006,Beauharnois--Salaberry,NDP,106856,89454,55569,54791,4559,7049,23998,18182,1003,0
2011,24007,Beauport--Limoilou,NDP,101331,84859,53602,52759,3162,13845,24306,10250,950,246
2011,24008,Berthier--Maskinongé,NDP,107911,90838,57746,56604,8060,7904,22403,16668,1196,373
2011,24009,Bourassa,LIB,100683,70207,38698,38013,15550,3354,12270,6105,613,121
2011,24010,Brome--Missisquoi,NDP,92591,80371,53133,52545,11589,6256,22407,11173,1120,0
