Year,FED Id,FED Name,Winning Pid,Population,Electors,Total Ballots,Valid Ballots,LIB,CPC,NDP,BQ,GRN,OTH
2008,10001,Avalon,LIB,78381,63882,33091,32829,14866,11542,5707,0,714,0
2008,10002,Bonavista--Gander--Grand Falls--Windsor,LIB,86394,69828,28733,28588,20089,4354,3577,0,568,0
2008,10003,Humber--St. Barbe--Baie Verte,LIB,73171,59797,26472,26322,17956,2799,4603,0,0,964
2008,10004,Labrador,LIB,26364,20175,7787,7721,5426,615,1378,0,302,0
2008,10005,Random--Burin--St. George's,LIB,71219,57209,23495,23373,12557,4791,5563,0,462,0
2008,10006,St. John's East,NDP,88002,73053,41560,41423,5211,3836,30881,0,570,925
2008,10007,St. John's South--Mount Pearl,LIB,81938,66467,34531,34439,14920,4324,13971,0,643,581
2008,11001,Cardigan,LIB,35067,27374,19234,19133,10105,5661,1556,0,710,1101
2008,11002,Charlottetown,LIB,32174,27083,17903,17766,8893,5704,2187,0,858,124
2008,11003,Egmont,CPC,34814,27256,18576,18461,8055,8110,1670,0,626,0
2008,11004,Malpeque,LIB,33796,26498,18923,18810,8312,7388,1819,0,1291,0
2008,12001,Cape Breton--Canso,LIB,71968,57753,36564,36272,17447,8524,7660,0,2641,0
2008,12002,Central Nova,CPC,72966,58863,39446,39142,0,18240,7659,0,12620,623
2008,12007,Cumberland--Colchester--Musquodoboit Valley,OTH,87895,68831,39765,39564,3344,3493,4874,0,0,27853
2008,12003,Dartmouth--Cole Harbour,LIB,87886,69469,40799,40554,16016,9109,12793,0,2417,219
2008,12004,Halifax,NDP,89448,74717,45328,45098,12458,9295,19252,0,3931,162
2008,12005,Halifax West,LIB,88756,69960,41369,41215,17129,8708,12201,0,2920,257
2008,12006,Kings--Hants,LIB,81531,64593,37846,37659,16641,9846,8291,0,2353,528
2008,12008,Sackville--Eastern Shore,NDP,86963,67786,39666,39529,5018,8198,24279,0,2034,0
2008,12009,South Shore--St. Margaret's,CPC,82855,66733,40173,39983,9536,14388,13456,0,2090,513
2008,12010,Sydney--Victoria,LIB,76801,61448,35280,35026,17303,7223,8559,0,1941,0
2008,12011,West Nova,CPC,86393,67722,42315,42011,15185,16779,7097,0,2106,844
2008,13001,Acadie--Bathurst,NDP,78948,66509,45441,44934,9850,8331,25849,0,904,0
2008,13002,Beauséjour,LIB,76259,62790,43480,42894,20059,12506,7242,0,3087,0
2008,13003,Fredericton,CPC,85886,68368,42474,42232,13319,17962,6490,0,4293,168
2008,13004,Fundy Royal,CPC,69471,54978,33585,33334,5773,17211,7907,0,2443,0
2008,13005,Madawaska--Restigouche,LIB,62593,52222,34867,34316,16266,11402,5361,0,1287,0
2008,13006,Miramichi,CPC,53844,44113,29017,28657,10590,12058,4904,0,1105,0
2008,13007,Moncton--Riverview--Dieppe,LIB,89334,74660,45772,45486,17797,16297,7394,0,3998,0
2008,13008,New Brunswick Southwest,CPC,63232,49273,30142,29962,5863,17474,4958,0,1667,0
2008,13009,Saint John,CPC,82078,64868,35032,34845,13285,13782,5560,0,1888,330
2008,13010,Tobique--Mactaquac,CPC,68352,53203,31776,31484,6773,18071,4830,0,1810,0
2008,24046,Abitibi--Baie-James--Nunavik--Eeyou,BQ,80894,57492,28206,27729,5108,8422,2276,10995,928,0
2008,24001,Abitibi--Témiscamingue,BQ,102795,80456,44262,43680,9055,8267,4151,20929,976,302
2008,24002,Ahuntsic,BQ,100471,73391,48171,47648,18392,4937,4276,18815,1228,0
2008,24003,Alfred-Pellan,BQ,104765,81766,54009,53272,15594,8662,6406,20686,1665,259
2008,24004,Argenteuil--Papineau--Mirabel,BQ,111534,91705,55811,54995,9984,9584,6819,26455,2055,98
2008,24054,Bas-Richelieu--Nicolet--Bécancour,BQ,91745,76352,49974,49056,7987,8904,4010,26821,1334,0
2008,24005,Beauce,CPC,103617,83205,51901,51084,5270,31883,4352,7143,2436,0
2008,24006,Beauharnois--Salaberry,BQ,106856,86431,54642,53735,7995,10858,6214,26904,1764,0
2008,24007,Beauport--Limoilou,CPC,101331,83834,49794,48945,7030,17994,5986,15962,1363,610
2008,24008,Berthier--Maskinongé,BQ,107911,88326,55427,54433,10035,12078,5684,24945,1691,0
2008,24009,Bourassa,LIB,100683,69612,40598,39903,19869,5405,3188,10145,1166,130
2008,24010,Brome--Missisquoi,BQ,92591,76636,50410,49879,16357,9309,4514,17561,1784,354
2008,24011,Brossard--La Prairie,LIB,113985,91662,59187,58624,19103,11062,7452,19034,1816,157
2008,24012,Chambly--Borduas,BQ,116925,93922,64248,63444,10649,9564,8998,31773,2460,0
2008,24013,Charlesbourg--Haute-Saint-Charles,CPC,94522,79791,50791,49980,7039,20566,6542,14602,1231,0
2008,24015,Châteauguay--Saint-Constant,BQ,107165,84347,55974,55033,10104,9827,8261,25086,1755,0
2008,24016,Chicoutimi--Le Fjord,BQ,96483,77959,48533,47777,6425,16680,3742,19737,1193,0
2008,24017,Compton--Stanstead,BQ,100148,78050,49146,48574,10946,9445,5483,20332,2368,0
2008,24018,Drummond,BQ,92982,74630,46426,45404,7697,11490,7460,17613,1144,0
2008,24019,Gaspésie--Îles-de-la-Madeleine,BQ,82007,68270,36940,36495,9840,8334,2549,14636,1136,0
2008,24020,Gatineau,BQ,108742,85970,52556,52098,13193,8762,13612,15189,1342,0
2008,24041,Haute-Gaspésie--La Mitis--Matane--Matapédia,BQ,73140,59340,32268,31934,11368,5771,1497,11984,1139,175
2008,24021,Hochelaga,BQ,100915,79542,46327,45683,9442,4201,6600,22720,1946,774
2008,24022,Honoré-Mercier,LIB,106196,80429,49997,49330,21544,7549,4986,13871,1380,0
2008,24023,Hull--Aylmer,LIB,110902,87036,53089,52730,19750,7996,10454,11625,2784,121
2008,24024,Jeanne-Le Ber,BQ,112863,86201,49704,49109,15841,5494,7708,17144,2345,577
2008,24025,Joliette,BQ,108169,87702,54394,53516,7769,9540,5579,28040,2588,0
2008,24026,Jonquière--Alma,CPC,97232,79322,51395,50765,2616,26639,2475,19035,0,0
2008,24027,Lac-Saint-Louis,LIB,105622,80707,51677,51400,23842,12085,8105,2953,4415,0
2008,24028,La Pointe-de-l'Île,BQ,99685,79049,46999,46311,7403,5179,5975,25976,1340,438
2008,24029,LaSalle--Émard,LIB,100327,74505,43079,42431,17226,6802,5622,10384,1579,818
2008,24030,Laurentides--Labelle,BQ,105884,88692,53573,53003,14143,6914,4896,24956,2094,0
2008,24031,Laurier--Sainte-Marie,BQ,101758,79182,48381,47975,8798,2320,8209,24103,3801,744
2008,24032,Laval,BQ,102230,82362,51262,50493,14190,9101,6289,19085,1607,221
2008,24033,Laval--Les Îles,LIB,111958,87749,54133,53408,21603,11017,6124,12576,1752,336
2008,24034,Lévis--Bellechasse,CPC,105927,87830,54849,54001,8130,24785,5856,13747,1370,113
2008,24035,Longueuil--Pierre-Boucher,BQ,98032,77111,50806,50124,10920,7210,7021,23118,1752,103
2008,24036,Lotbinière--Chutes-de-la-Chaudière,CPC,100454,79721,52732,51824,6498,24495,6828,12738,1265,0
2008,24037,Louis-Hébert,BQ,101730,83272,58529,57934,13669,16343,5403,20992,1408,119
2008,24038,Louis-Saint-Laurent,CPC,96286,81053,50966,50237,6712,23683,5252,13330,1260,0
2008,24039,Manicouagan,BQ,83608,63886,31430,30986,4737,8374,1491,15272,1112,0
2008,24040,Marc-Aurèle-Fortin,BQ,107149,84243,56785,56124,13728,7759,6907,25552,2178,0
2008,24042,Mégantic--L'Érable,CPC,87078,69864,45003,44315,6185,20697,4191,12283,959,0
2008,24043,Montcalm,BQ,122825,99604,61489,60193,8387,8096,8337,33519,1854,0
2008,24058,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,BQ,97492,78377,45057,44522,6835,13640,2428,20494,978,147
2008,24014,Montmorency--Charlevoix--Haute-Côte-Nord,BQ,90535,74813,43652,43105,5769,11789,3332,21068,1147,0
2008,24044,Mount Royal,LIB,98888,68211,35673,35405,19702,9676,2733,1543,1565,186
2008,24045,Notre-Dame-de-Grâce--Lachine,LIB,104715,76119,44216,43820,19554,7108,6641,6962,3378,177
2008,24047,Outremont,NDP,95771,64556,36546,36293,12005,3820,14348,4554,1566,0
2008,24048,Papineau,LIB,101019,70115,43311,42735,17724,3262,3734,16535,1213,267
2008,24049,Pierrefonds--Dollard,LIB,105504,79630,46035,45735,21468,11815,4823,4357,3161,111
2008,24050,Pontiac,CPC,99589,79149,43177,42871,10396,14023,6616,9576,2148,112
2008,24051,Portneuf--Jacques-Cartier,OTH,93526,75771,46095,44982,7320,0,5707,14401,1452,16102
2008,24052,Québec,BQ,95433,81468,51067,50435,8845,12943,5933,21064,1650,0
2008,24053,Repentigny,BQ,109636,90070,59360,58445,8751,8168,8853,31007,1666,0
