Year,FED Id,FED Name,Winning Pid,Population,Electors,Total Ballots,Valid Ballots,LIB,CPC,NDP,BQ,GRN,OTH
2000,10001,Bonavista--Trinity--Conception,LIB,91865,67199,41129,40629,22096,12060,6473,0,0,0
2000,10002,Burin--St. George's,LIB,75001,53526,31068,30727,14603,7309,924,0,0,7891
2000,10003,Gander--Grand Falls,LIB,78550,57014,28971,28853,15874,10103,2876,0,0,0
2000,10004,Humber--St. Barbe--Baie Verte,LIB,75347,54745,31861,31744,15405,8042,8297,0,0,0
2000,10005,Labrador,LIB,29190,19654,10425,10368,7153,1931,1284,0,0,0
2000,10006,St. John's East,CPC,101266,77449,44558,44356,13835,24750,5395,0,0,376
2000,10007,St. John's West,CPC,100573,75623,43166,42821,14137,23799,4744,0,0,141
2000,11001,Cardigan,LIB,30561,22556,17864,17779,8545,8769,465,0,0,0
2000,11002,Egmont,LIB,35282,25500,18565,18434,9227,8068,1139,0,0,0
2000,11003,Hillsborough,LIB,35284,29617,19895,19799,8277,7044,4328,0,0,150
2000,11004,Malpeque,LIB,33430,25361,18564,18452,8972,8448,782,0,250,0
2000,12001,Bras d'Or--Cape Breton,LIB,76677,56074,38270,37949,20815,9597,7537,0,0,0
2000,12002,Cumberland--Colchester,CPC,83066,62180,38742,38597,10271,23697,4629,0,0,0
2000,12003,Dartmouth,NDP,83423,62877,37579,37446,12408,11367,13585,0,0,86
2000,12004,Halifax,NDP,80677,67849,41211,41035,13539,9603,16563,0,590,740
2000,12005,Halifax West,LIB,93901,77579,46908,46735,18327,14232,14016,0,0,160
2000,12006,Kings--Hants,CPC,98676,73052,43859,43714,13213,22230,7244,0,0,1027
2000,12007,Pictou--Antigonish--Guysborough,CPC,79189,59269,40053,39863,12585,22228,4498,0,0,552
2000,12008,Sackville--Musquodoboit Valley--Eastern Shore,NDP,84965,64426,39632,39503,12864,12362,13619,0,0,658
2000,12009,South Shore,CPC,76980,58726,36288,36096,12677,19025,4394,0,0,0
2000,12010,Sydney--Victoria,LIB,81594,60499,39178,38911,19388,5307,14216,0,0,0
2000,12011,West Nova,LIB,70134,52453,35655,35420,12783,18661,3976,0,0,0
2000,13001,Acadie--Bathurst,NDP,87601,67918,51189,50565,20362,6635,23568,0,0,0
2000,13002,Beauséjour--Petitcodiac,LIB,83353,64526,46002,45569,21465,20887,3217,0,0,0
2000,13003,New Brunswick Southwest,CPC,61112,45627,30822,30666,8442,21051,1173,0,0,0
2000,13004,Fredericton,LIB,73975,58845,36938,36725,14175,19733,2584,0,0,233
2000,13005,Fundy--Royal,CPC,73472,55364,37942,37721,11422,23671,2628,0,0,0
2000,13006,Madawaska--Restigouche,LIB,73175,56435,39096,38099,19913,16375,1811,0,0,0
2000,13007,Miramichi,LIB,59454,47337,33822,33139,17047,13639,2453,0,0,0
2000,13008,Moncton--Riverview--Dieppe,LIB,88463,72640,45547,45193,26545,15212,3139,0,0,297
2000,13009,Saint John,CPC,72668,54937,33113,32899,9535,19731,2989,0,131,513
2000,13010,Tobique--Mactaquac,LIB,64860,47940,32707,32436,10897,20323,1216,0,0,0
2000,24001,Abitibi--Baie-James--Nunavik,LIB,95948,65934,37253,36405,18198,2106,534,15567,0,0
2000,24002,Ahuntsic,LIB,104960,81288,54439,53150,28643,4834,997,17132,1123,421
2000,24003,Anjou--Rivière-des-Prairies,LIB,95099,74695,49755,48621,28134,4039,624,14755,0,1069
2000,24004,Argenteuil--Papineau--Mirabel,BQ,101268,81024,51646,50259,21171,4745,550,21713,723,1357
2000,24005,Beauce,LIB,99453,75170,47615,46483,26033,7080,436,12323,0,611
2000,24006,Beauharnois--Salaberry,LIB,93685,72089,50780,49390,23834,3915,703,20938,0,0
2000,24007,Beauport--Montmorency--Côte-de-Beaupré--Île-d'Orléans,BQ,101444,80217,52846,51365,18714,8794,869,21341,0,1647
2000,24008,Bellechasse--Etchemins--Montmagny--L'Islet,LIB,83911,64379,41043,39996,19163,5860,0,14973,0,0
2000,24009,Berthier--Montcalm,BQ,125619,94011,57394,55465,16669,4862,823,31647,0,1464
2000,24010,Bourassa,LIB,90902,67488,42076,40828,25403,2760,736,11462,0,467
2000,24011,Brome--Missisquoi,LIB,84359,66730,43853,42867,21545,7479,480,13363,0,0
2000,24012,Brossard--La Prairie,LIB,98516,78535,51939,50872,26806,5756,852,16758,0,700
2000,24013,Chambly,BQ,102009,81181,53967,52232,17400,6228,769,26084,0,1751
2000,24014,Champlain,BQ,88944,68914,46911,45122,20408,2599,672,20423,0,1020
2000,24015,Charlesbourg--Jacques-Cartier,BQ,105007,86371,58852,57105,21045,12057,1000,21867,1136,0
2000,24016,Charlevoix,BQ,78659,58737,34253,33330,9308,3059,484,20479,0,0
2000,24017,Châteauguay,BQ,110605,85512,57530,55782,22972,5161,622,26284,0,743
2000,24018,Chicoutimi--Le Fjord,LIB,86252,67058,43021,41674,20105,2001,698,15073,0,3797
2000,24019,Compton--Stanstead,LIB,77974,59382,38946,38076,17729,4483,580,14808,0,476
2000,24020,Drummond,BQ,84250,66084,43342,41908,14335,8180,423,18970,0,0
2000,24021,Frontenac--Mégantic,LIB,69701,54559,37885,37145,17069,3248,427,15703,0,698
2000,24022,Bonaventure--Gaspé--Îles-de-la-Madeleine--Pabok,LIB,75543,56286,36820,36122,19213,764,613,15532,0,0
2000,24023,Gatineau,LIB,120369,91031,51426,50456,25960,8688,1763,12817,0,1228
2000,24024,Hochelaga--Maisonneuve,BQ,93160,75947,44574,43189,16143,3253,767,21250,0,1776
2000,24025,Hull--Aylmer,LIB,97240,74742,44203,43552,22385,7820,1521,10051,0,1775
2000,24026,Joliette,BQ,95470,73908,47571,45242,14820,5162,1085,23615,0,560
2000,24027,Jonquière,BQ,68715,54137,33705,32330,11574,3428,1139,16189,0,0
2000,24028,Kamouraska--Rivière-du-Loup--Témiscouata--Les Basques,BQ,88621,67208,39931,38874,11794,2755,836,23319,0,170
2000,24029,Notre-Dame-de-Grâce--Lachine,LIB,100927,75657,47361,46651,28328,5374,2208,8449,1031,1261
2000,24030,Lac-Saint-Jean--Saguenay,BQ,69777,52895,33217,32327,7536,2071,417,21391,0,912
2000,24031,Lac-Saint-Louis,LIB,106473,82507,59146,58676,43515,8634,1464,3913,0,1150
2000,24032,LaSalle--Émard,LIB,97542,75961,49816,48773,32069,2917,837,11805,0,1145
2000,24033,Laurentides,BQ,124776,100045,62536,60796,23619,5363,720,30337,0,757
2000,24034,Laurier--Sainte-Marie,BQ,96640,79109,45683,44468,11451,2839,2111,23473,2169,2425
2000,24035,Laval Centre,BQ,106931,87535,56457,54782,23704,5215,832,23746,1285,0
2000,24036,Laval East,LIB,106942,86759,59650,58115,26018,4813,573,24726,660,1325
2000,24037,Laval West,LIB,116520,93243,63429,61904,31758,8244,764,19975,983,180
2000,24038,Lévis-et-Chutes-de-la-Chaudière,BQ,122255,97982,65071,63079,21522,13374,1411,26398,0,374
2000,24039,Longueuil,BQ,83442,68927,41122,39941,12991,4276,655,20868,0,1151
2000,24040,Lotbinière-L'Érable,BQ,69952,52350,34776,33636,12563,5184,538,15351,0,0
2000,24041,Louis-Hébert,LIB,98496,83217,58919,57593,23695,11076,1200,21240,0,382
2000,24042,Manicouagan,BQ,55018,40059,22451,21778,7770,2027,386,11595,0,0
2000,24043,Matapédia--Matane,BQ,74237,55320,32506,31471,14402,1456,935,14678,0,0
2000,24044,Mercier,BQ,95070,76437,48361,46818,15416,3313,480,24755,1813,1041
2000,24045,Mount Royal,LIB,95616,68605,41103,40768,33118,3933,1034,1740,681,262
2000,24046,Outremont,LIB,95665,68115,40090,39422,18796,4473,2199,11151,1478,1325
2000,24047,Papineau--Saint-Denis,LIB,105607,73360,45382,44280,23955,3329,1983,11779,1128,2106
2000,24048,Pierrefonds--Dollard,LIB,110147,80160,54648,54024,39357,6472,1109,5937,0,1149
2000,24049,Pontiac--Gatineau--Labelle,LIB,103404,78429,46160,45389,20590,8378,840,14552,654,375
2000,24050,Portneuf,LIB,89315,69432,45373,43839,17877,10518,0,15444,0,0
2000,24051,Québec,BQ,99661,88320,54059,52484,18619,7151,1704,22793,0,2217
2000,24052,Québec East,LIB,109210,91015,58409,56492,21813,12321,1192,21166,0,0
2000,24053,Repentigny,BQ,120562,95534,60701,58176,15635,6086,831,33627,0,1997
2000,24054,Bas-Richelieu--Nicolet--Bécancour,BQ,87597,67815,45620,44391,13781,4022,421,25266,0,901
2000,24055,Richmond--Arthabaska,CPC,98830,76250,50631,49537,10416,20360,319,18067,0,375
2000,24056,Rimouski-Neigette-et-la Mitis,BQ,72837,56694,34013,33182,9795,2430,525,19759,0,673
2000,24057,Roberval,BQ,73139,54041,31547,30745,10680,2700,437,16928,0,0
2000,24058,Rosemont--Petite-Patrie,BQ,102375,82336,48829,47452,16052,3360,1417,23315,1475,1833
2000,24059,Témiscamingue,BQ,85163,61709,38481,37494,16028,2172,493,18801,0,0
2000,24060,Rivière-des-Mille-Îles,BQ,112800,87100,55585,53644,18456,6612,739,26508,1329,0
2000,24061,Saint-Bruno--Saint-Hubert,BQ,100756,77145,52093,50513,19743,5978,1029,22217,0,1546
2000,24062,Saint-Hyacinthe--Bagot,BQ,94057,71626,48395,46773,16265,4093,499,25916,0,0
