Year,FED Id,FED Name,Winning Pid,Population,Electors,Total Ballots,Valid Ballots,LIB,CPC,NDP,BQ,GRN,OTH
2006,10001,Avalon,CPC,79548,63303,37735,37112,14318,19132,3365,0,297,0
2006,10002,Bonavista--Gander--Grand Falls--Windsor,LIB,89743,70782,38365,38175,19866,15376,2668,0,265,0
2006,10003,Humber--St. Barbe--Baie Verte,LIB,76467,59685,32722,32531,17208,10137,4847,0,339,0
2006,10004,Labrador,LIB,27864,19774,11467,11415,5768,4528,1037,0,82,0
2006,10005,Random--Burin--St. George's,LIB,76089,57869,30143,30012,13652,12232,3702,0,426,0
2006,10006,St. John's East,CPC,81007,68026,41158,41047,14345,19110,7190,0,402,0
2006,10007,St. John's South--Mount Pearl,CPC,82212,64543,37371,37247,12295,16644,8073,0,235,0
2006,11001,Cardigan,LIB,34777,27411,20649,20533,11542,6923,1535,0,533,0
2006,11002,Charlottetown,LIB,32245,27175,19226,19112,9586,6524,2126,0,586,290
2006,11003,Egmont,LIB,35208,27146,19469,19350,10288,5991,1847,0,1005,219
2006,11004,Malpeque,LIB,33064,25945,19485,19371,9779,6708,1983,0,901,0
2006,12001,Cape Breton--Canso,LIB,75221,60984,40569,40281,21424,9740,8111,0,1006,0
2006,12002,Central Nova,CPC,73722,61137,42286,42139,10349,17134,13861,0,671,124
2006,12007,Cumberland--Colchester--Musquodoboit Valley,CPC,87507,70036,43319,43116,10299,22439,8944,0,910,524
2006,12003,Dartmouth--Cole Harbour,LIB,88507,72264,45125,44959,19027,10259,14612,0,1005,56
2006,12004,Halifax,NDP,88931,76885,50171,49962,15437,8993,23420,0,1948,164
2006,12005,Halifax West,LIB,79933,70349,44353,44206,21818,10184,10798,0,1406,0
2006,12006,Kings--Hants,LIB,79286,65898,42961,42784,19491,13772,8138,0,947,436
2006,12008,Sackville--Eastern Shore,NDP,83655,69311,43277,43152,9921,9450,22848,0,933,0
2006,12009,South Shore--St. Margaret's,CPC,83694,67983,41173,41000,11629,15108,11689,0,1198,1376
2006,12010,Sydney--Victoria,LIB,79294,64589,40882,40655,20277,7455,11587,0,1336,0
2006,12011,West Nova,LIB,88257,71393,45464,45190,17734,17222,8512,0,1040,682
2006,13001,Acadie--Bathurst,NDP,82929,67608,51015,50492,15504,8513,25195,0,699,581
2006,13002,Beauséjour,LIB,73871,62291,46856,46295,22012,14919,7717,0,1290,357
2006,13003,Fredericton,LIB,82782,69453,47218,47011,19649,16292,9988,0,884,198
2006,13004,Fundy Royal,CPC,67287,54154,36747,36494,9979,17630,7696,0,1189,0
2006,13005,Madawaska--Restigouche,LIB,65877,53233,36982,36125,13734,12849,8322,0,1220,0
2006,13006,Miramichi,LIB,56464,45284,33383,33024,13960,11250,5587,0,587,1640
2006,13007,Moncton--Riverview--Dieppe,LIB,83191,72386,48406,48036,22918,14464,9095,0,1409,150
2006,13008,New Brunswick Southwest,CPC,63529,49921,33342,33132,8877,18155,5178,0,922,0
2006,13009,Saint John,LIB,83463,65639,40294,40080,17202,15753,6267,0,858,0
2006,13010,Tobique--Mactaquac,CPC,70105,54135,36675,36303,15558,15894,4172,0,679,0
2006,24046,Abitibi--Baie-James--Nunavik--Eeyou,BQ,80052,56615,30471,29909,6700,6261,1810,13928,1210,0
2006,24001,Abitibi--Témiscamingue,BQ,104620,79435,47673,47073,6501,10634,4022,24637,1279,0
2006,24002,Ahuntsic,BQ,99848,75100,50511,49925,18594,6119,3948,19428,1836,0
2006,24003,Alfred-Pellan,BQ,99841,80328,54769,53978,14895,10210,3838,23193,1842,0
2006,24004,Argenteuil--Papineau--Mirabel,BQ,98467,86627,54279,53433,7171,12461,3466,27855,2480,0
2006,24054,Bas-Richelieu--Nicolet--Bécancour,BQ,92650,75514,50488,49611,6438,11588,2248,27742,1595,0
2006,24005,Beauce,CPC,102072,82123,55532,55078,4364,36915,1405,10997,1397,0
2006,24006,Beauharnois--Salaberry,BQ,103808,84563,56151,55098,8272,14609,4163,26190,1864,0
2006,24007,Beauport--Limoilou,CPC,98990,83327,49721,49083,4929,19409,3917,18589,2005,234
2006,24008,Berthier--Maskinongé,BQ,103516,85642,54778,53998,5605,16958,3319,26191,1925,0
2006,24009,Bourassa,LIB,99862,73571,43907,43092,18705,6830,2237,13777,1370,173
2006,24010,Brome--Missisquoi,BQ,88128,74088,49074,48520,13569,9874,2839,18596,1721,1921
2006,24011,Brossard--La Prairie,BQ,100489,86808,58211,57666,20190,9749,4301,21433,1883,110
2006,24012,Chambly--Borduas,BQ,104995,88601,62381,61619,6933,12703,5167,33703,3113,0
2006,24013,Charlesbourg--Haute-Saint-Charles,CPC,90162,77036,50220,49717,4364,20406,3084,19034,1262,1567
2006,24015,Châteauguay--Saint-Constant,BQ,102709,82326,55940,55028,10295,11219,2865,28274,2375,0
2006,24016,Chicoutimi--Le Fjord,BQ,98739,78073,50529,49954,14581,12350,2571,19226,1226,0
2006,24017,Compton--Stanstead,BQ,94167,75670,50429,49843,11126,12131,3099,21316,2171,0
2006,24018,Drummond,BQ,87808,71725,46195,45434,7437,10134,2870,22575,2418,0
2006,24019,Gaspésie--Îles-de-la-Madeleine,BQ,84202,68494,41884,41410,7977,13347,1225,17678,1183,0
2006,24020,Gatineau,BQ,102898,83480,54160,53743,16826,9014,5354,21093,1456,0
2006,24041,Haute-Gaspésie--La Mitis--Matane--Matapédia,BQ,74475,59403,34529,34145,4463,10157,2116,15721,910,778
2006,24021,Hochelaga,BQ,100934,80142,46730,46007,7932,5617,4101,25570,2235,552
2006,24022,Honoré-Mercier,LIB,100981,80122,51979,51329,19622,8952,3191,17879,1502,183
2006,24023,Hull--Aylmer,LIB,102331,84233,54117,53794,17576,9284,8334,15788,2687,125
2006,24024,Jeanne-Le Ber,BQ,103092,86427,50933,50260,17118,5951,4621,20213,2357,0
2006,24025,Joliette,BQ,97344,84494,53880,52898,5245,14192,2745,28630,2086,0
2006,24026,Jonquière--Alma,CPC,98167,78153,52772,52337,1550,27262,2028,20569,928,0
2006,24027,Lac-Saint-Louis,LIB,101919,80536,53398,53123,25588,14164,5702,4064,3605,0
2006,24028,La Pointe-de-l'Île,BQ,98878,79135,49315,48576,6855,7402,3407,29368,1544,0
2006,24029,LaSalle--Émard,LIB,99767,76647,47595,46996,22751,5994,2805,13501,1512,433
2006,24030,Laurentides--Labelle,BQ,96133,86438,53093,52424,7616,10666,3382,28217,2543,0
2006,24031,Laurier--Sainte-Marie,BQ,100488,80549,49345,48953,6095,3124,8165,26773,4064,732
2006,24032,Laval,BQ,98831,80699,50499,49679,12698,9236,4047,22032,1666,0
2006,24033,Laval--Les Îles,LIB,100137,84662,53735,53026,20849,9055,3817,17537,1557,211
2006,24034,Lévis--Bellechasse,CPC,102310,85635,56453,55902,4581,25940,2590,16223,2293,4275
2006,24035,Longueuil--Pierre-Boucher,BQ,96403,76473,50303,49681,6260,9331,4273,27425,1995,397
2006,24036,Lotbinière--Chutes-de-la-Chaudière,CPC,94834,76764,52478,51965,2820,28236,3529,15402,1978,0
2006,24037,Louis-Hébert,CPC,98156,82671,59395,58981,8852,20332,5351,20101,2517,1828
2006,24038,Louis-Saint-Laurent,CPC,94294,78209,50064,49597,3180,28606,2848,11997,1468,1498
2006,24039,Manicouagan,BQ,84872,64537,36789,36401,5214,6910,4657,18601,824,195
2006,24040,Marc-Aurèle-Fortin,BQ,99044,80351,54987,54189,8407,11098,4313,27638,2733,0
2006,24042,Mégantic--L'Érable,CPC,87205,69617,47785,47242,4912,23550,1836,15410,1534,0
2006,24043,Montcalm,BQ,105678,90186,57351,56158,4645,10818,3766,34975,1954,0
2006,24058,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,BQ,97126,78382,46659,45987,6466,11529,2107,24117,1768,0
2006,24014,Montmorency--Charlevoix--Haute-Côte-Nord,BQ,89257,74190,45651,45140,3989,14559,2896,22169,1527,0
2006,24044,Mount Royal,LIB,98346,70492,37230,36989,24248,6621,2479,2112,1423,106
2006,24045,Notre-Dame-de-Grâce--Lachine,LIB,101698,76534,46580,46147,20235,8048,5455,9385,2754,270
2006,24047,Outremont,LIB,96693,67253,40875,40593,14282,5168,6984,11778,1957,424
2006,24048,Papineau,BQ,103942,72319,44187,43622,16785,3630,3358,17775,1572,502
2006,24049,Pierrefonds--Dollard,LIB,102542,80211,48038,47707,24388,11013,3664,5901,2645,96
2006,24050,Pontiac,CPC,89950,77772,48033,47706,11561,16069,4759,13698,1512,107
2006,24051,Portneuf--Jacques-Cartier,OTH,87141,73483,51017,50600,2489,11472,1956,13094,1431,20158
2006,24052,Québec,BQ,93811,80576,50793,50190,5743,14943,4629,20845,2372,1658
2006,24053,Repentigny,BQ,103977,84312,56873,56008,4847,10124,4337,34958,1742,0
2006,24055,Richmond--Arthabaska,BQ,97493,78478,51755,51087,5294,16465,2507,24466,2355,0
2006,24056,Rimouski-Neigette--Témiscouata--Les Basques,BQ,84557,67793,43227,42698,8254,9481,4186,19804,973,0
2006,24057,Rivière-des-Mille-Îles,BQ,92929,73369,49558,48745,6239,10173,3418,26272,2643,0
2006,24059,Rivière-du-Nord,BQ,90419,79116,47820,47038,4365,9769,3393,27789,1722,0
2006,24060,Roberval--Lac-Saint-Jean,BQ,81373,63236,39300,38903,3014,14463,2151,17586,1689,0
2006,24061,Rosemont--La Petite-Patrie,BQ,103458,82790,53000,52395,8259,4873,6051,29336,3457,419
2006,24062,Saint-Bruno--Saint-Hubert,BQ,99755,78608,53461,52713,8643,10451,4359,26509,2364,387
