Year,FED Id,FED Name,Winning Pid,Population,Total Ballots,Valid Ballots,LIB,CPC,NDP,BQ,GRN,OTH
2004,24043,Montcalm,BQ ,105678,49867,48266,7915,2831,1531,34383,1606,0
2004,24044,Mount Royal,LIB,98346,38201,37884,28670,3271,1859,2636,1046,402
2004,24045,Notre-Dame-de-Grâce--Lachine,LIB,101698,44805,44273,23552,4526,3513,9736,2214,732
2004,24046,Nunavik--Eeyou,BQ ,80052,28373,27808,12006,1265,1097,12578,862,0
2004,24047,Outremont,LIB,96693,38645,38286,15675,2284,5382,12730,1643,572
2004,24048,Papineau,LIB,103942,41769,41099,16892,1961,3603,16424,1058,1161
2004,24049,Pierrefonds--Dollard,LIB,102542,46930,46565,29601,5010,2545,7426,1401,582
2004,24050,Pontiac,LIB,89950,40478,40034,15358,8869,2317,11685,1673,132
2004,24051,Portneuf,BQ ,87141,44229,43050,11863,9251,1540,18471,1925,0
2004,24052,Québec,BQ ,93811,49176,48136,12982,5330,2670,24373,2046,735
2004,24053,Repentigny,BQ ,103977,52457,51254,9353,2447,1526,35907,1482,539
2004,24054,Richelieu,BQ ,92650,50012,48704,11045,3726,1017,31497,839,580
2004,24055,Richmond--Arthabaska,BQ ,97493,48296,47184,12809,4925,1540,26211,1699,0
2004,24056,Rimouski--Témiscouata,BQ ,84557,39293,38546,9161,3445,2717,22215,1008,0
