Year,FED Id,FED Name,Winning Pid,Population,Electors,Total Ballots,Valid Ballots,LIB,CPC,NDP,BQ,GRN,OTH
2004,10001,Avalon,LIB,79548,63745,31762,31426,18335,9211,3450,0,430,0
2004,10002,Bonavista--Exploits,LIB,89743,71952,33312,33134,15970,13786,2667,0,367,344
2004,10003,Humber--St. Barbe--Baie Verte,LIB,76467,59893,28613,28485,17820,6538,3743,0,384,0
2004,10004,Labrador,LIB,27864,19909,8923,8877,5524,1400,856,0,178,919
2004,10005,Random--Burin--St. George's,LIB,76089,59256,26613,26474,12383,4820,8797,0,474,0
2004,10006,St. John's North,CPC,81007,65660,36519,36405,13343,15073,7198,0,791,0
2004,10007,St. John's South,CPC,82212,64617,33794,33691,11879,13330,7989,0,493,0
2004,11001,Cardigan,LIB,34777,27656,20863,20726,11064,6889,2103,0,670,0
2004,11002,Charlottetown,LIB,32245,27820,18722,18589,9175,5121,3428,0,760,105
2004,11003,Egmont,LIB,35208,27545,18567,18433,10220,5363,2133,0,717,0
2004,11004,Malpeque,LIB,33064,26010,18991,18847,9782,6126,1902,0,1037,0
2004,12001,Cape Breton--Canso,LIB,75221,59825,38171,37810,20139,7654,9197,0,820,0
2004,12002,Central Nova,CPC,73722,58240,38045,37847,9986,16376,10470,0,1015,0
2004,12003,Dartmouth--Cole Harbour,LIB,88507,67176,41604,41423,17425,8739,13463,0,1311,485
2004,12004,Halifax,NDP,88931,70847,44406,44146,17267,6457,18341,0,2081,0
2004,12005,Halifax West,LIB,79933,63479,40317,40176,19083,8413,11228,0,1452,0
2004,12006,Kings--Hants,LIB,79286,60801,37950,37661,17555,11344,6663,0,1364,735
2004,12007,North Nova,CPC,87507,66451,40175,39983,10591,20188,7560,0,1245,399
2004,12008,Sackville--Eastern Shore,NDP,83655,64979,39343,39162,11222,8363,17925,0,1007,645
2004,12009,South Shore--St. Margaret's,CPC,83694,65487,39634,39452,12658,14954,10140,0,1700,0
2004,12010,Sydney--Victoria,LIB,79294,61826,37457,37160,19372,5897,10298,0,855,738
2004,12011,West Nova,LIB,88257,67821,43348,43023,18343,14209,9086,0,1385,0
2004,13001,Acadie--Bathurst,NDP,76392,63603,44762,44235,14452,4841,23857,0,1085,0
2004,13002,Beauséjour,LIB,73871,61327,41880,41168,21934,11604,6056,0,1574,0
2004,13003,Fredericton,LIB,82782,68968,42633,42369,19819,14193,7360,0,997,0
2004,13004,Fundy,CPC,67287,54113,33689,33458,11635,14997,5417,0,1051,358
2004,13005,Madawaska--Restigouche,LIB,65877,54369,32939,31671,14144,7605,8737,0,1185,0
2004,13006,Miramichi,LIB,63001,51027,33384,32543,15647,9448,5980,0,1468,0
2004,13007,Moncton--Riverview--Dieppe,LIB,83191,72845,42947,42611,25266,10003,5344,0,1998,0
2004,13008,St. Croix--Belleisle,CPC,63529,49834,31011,30795,9702,16339,3600,0,960,194
2004,13009,Saint John,LIB,83463,66423,36553,36329,15725,12212,6926,0,807,659
2004,13010,Tobique--Mactaquac,LIB,70105,54931,35154,34805,16787,13779,2957,0,1282,0
2004,24001,Abitibi--Témiscamingue,BQ,104620,79986,44415,43432,13457,2425,1472,25041,1037,0
2004,24002,Ahuntsic,LIB,99848,76671,49224,48528,21234,2544,3013,20020,1301,416
2004,24003,Alfred-Pellan,BQ,99841,80148,54460,53332,21116,2703,1849,26239,1132,293
