Year,FED Id,FED Name,Winning Pid,Population,Electors,Total Ballots,Valid Ballots,LIB,CPC,NDP,BQ,GRN,OTH
2015,10001,Avalon,LIB,81540,68487,42248,42086,23528,4670,6075,0,228,7585
2015,10002,Bonavista--Burin--Trinity,LIB,76704,62462,35265,35092,28704,3534,2557,0,297,0
2015,10003,Coast of Bays--Central--Notre Dame,LIB,78092,64226,35593,35448,26523,6479,2175,0,271,0
2015,10004,Labrador,LIB,26728,20045,12426,12373,8878,1716,1779,0,0,0
2015,10005,Long Range Mountains,LIB,87592,71918,41932,41824,30889,5085,4739,0,1111,0
2015,10006,St. John's East,LIB,81936,66304,44991,44880,20974,2938,20328,0,500,140
2015,10007,St. John's South--Mount Pearl,LIB,81944,67596,44934,44801,25922,2047,16467,0,365,0
2015,11001,Cardigan,LIB,36005,28889,22581,22485,14621,3632,2503,0,1434,295
2015,11002,Charlottetown,LIB,34562,28129,21264,21165,11910,3136,4897,0,1222,0
2015,11003,Egmont,LIB,34598,27858,21449,21362,10521,6185,4097,0,559,0
2015,11004,Malpeque,LIB,35039,28629,22574,22472,13950,3947,2509,0,2066,0
2015,12001,Cape Breton--Canso,LIB,75247,60785,43511,43237,32163,6246,3547,0,1281,0
2015,12002,Central Nova,LIB,74597,60594,44496,44263,25909,11418,4532,0,1834,570
2015,12003,Cumberland--Colchester,LIB,82321,65461,46510,46332,29527,12257,2647,0,1650,251
2015,12004,Dartmouth--Cole Harbour,LIB,91212,73710,52471,52270,30407,7331,12757,0,1775,0
2015,12005,Halifax,LIB,92643,73379,53291,53032,27431,4564,19162,0,1745,130
2015,12006,Halifax West,LIB,87275,70515,50260,50079,34377,7837,5894,0,1971,0
2015,12007,Kings--Hants,LIB,83306,67213,46888,46686,33026,8677,2998,0,1569,416
2015,12008,Sackville--Preston--Chezzetcook,LIB,85583,68040,48481,48301,23161,7186,16613,0,1341,0
2015,12009,South Shore--St. Margarets,LIB,92561,76181,53001,52775,30045,11905,8883,0,1534,408
2015,12010,Sydney--Victoria,LIB,73328,59994,41210,40974,29995,4360,5351,0,1026,242
2015,12011,West Nova,LIB,83654,67059,45950,45679,28775,11916,3084,0,1904,0
2015,13001,Acadie--Bathurst,LIB,79340,66799,51299,50963,25845,3852,20079,0,1187,0
2015,13002,Beauséjour,LIB,80416,66891,53256,52936,36534,6017,8009,0,2376,0
2015,13003,Fredericton,LIB,81759,61947,46910,46722,23016,13280,4622,0,5804,0
2015,13004,Fundy Royal,LIB,79331,63089,47061,46820,19136,17361,8204,0,1823,296
2015,13005,Madawaska--Restigouche,LIB,62540,50907,37654,37306,20778,6151,9670,0,707,0
2015,13006,Miramichi--Grand Lake,LIB,59343,48331,36620,36364,17202,12476,5588,0,1098,0
2015,13007,Moncton--Riverview--Dieppe,LIB,89484,71982,52352,52041,30054,11168,8420,0,2399,0
2015,13008,New Brunswick Southwest,LIB,66197,51729,38146,37926,16656,14625,4768,0,1877,0
2015,13009,Saint John--Rothesay,LIB,82129,61722,42486,42281,20634,12915,7411,0,1321,0
2015,13010,Tobique--Mactaquac,LIB,70632,54145,38675,38427,17909,14225,4334,0,1959,0
2015,24001,Abitibi--Baie-James--Nunavik--Eeyou,NDP,85475,63632,35127,34518,11094,3211,12778,6398,779,258
2015,24002,Abitibi--Témiscamingue,NDP,102794,82968,50470,49729,14733,3425,20636,9651,859,425
2015,24003,Ahuntsic-Cartierville,LIB,110473,83208,56197,55567,26026,4051,16684,7346,1175,285
2015,24004,Alfred-Pellan,LIB,98045,78524,55848,55169,24557,6259,13225,9836,1089,203
2015,24005,Argenteuil--La Petite-Nation,LIB,94208,78836,51667,51066,22093,5680,12650,9525,1118,0
2015,24006,Avignon--La Mitis--Matane--Matapédia,LIB,74547,60890,36772,36356,14378,2228,7340,7641,365,4404
2015,24007,Beauce,CPC,106337,85698,56594,55882,12442,32910,5443,4144,943,0
2015,24020,Beauport--Côte-de-Beaupré--Île d'Orléans--Charlevoix,CPC,92496,76528,51302,50456,13556,16903,9306,9650,859,182
2015,24008,Beauport--Limoilou,CPC,92944,78799,51499,50558,12854,15461,12881,7467,1220,675
2015,24009,Bécancour--Nicolet--Saurel,BQ,93779,78734,53163,52205,12666,5955,11531,20871,1182,0
2015,24010,Bellechasse--Les Etchemins--Lévis,CPC,112385,92719,63422,62598,12961,31872,8516,7217,2032,0
2015,24011,Beloeil--Chambly,NDP,109955,91204,67388,66438,19494,6173,20641,18387,1498,245
2015,24012,Berthier--Maskinongé,NDP,98590,82996,55250,54406,11032,5548,22942,14037,847,0
2015,24015,Bourassa,LIB,100286,71070,41988,41129,22234,3819,6144,7049,886,997
2015,24016,Brome--Missisquoi,LIB,98616,85118,59391,58675,25744,6724,14383,10252,1377,195
2015,24017,Brossard--Saint-Lambert,LIB,100828,83766,57809,57260,28818,7215,14075,6071,1081,0
2015,24019,Charlesbourg--Haute-Saint-Charles,CPC,103331,84830,59122,58256,13525,24608,11690,7177,1256,0
2015,24021,Châteauguay--Lacolle,LIB,92169,76129,52691,51782,20245,5805,11986,12615,982,149
2015,24022,Chicoutimi--Le Fjord,LIB,81501,66821,44550,43805,13619,7270,13019,8990,907,0
2015,24023,Compton--Stanstead,LIB,101946,82237,56559,55811,20582,6978,15300,11551,1085,315
2015,24024,Dorval--Lachine--LaSalle,LIB,106886,85769,55198,54605,29974,6049,11769,5338,1245,230
2015,24025,Drummond,NDP,98681,81455,53077,51979,13793,9221,15833,11862,1270,0
2015,24026,Gaspésie--Les Îles-de-la-Madeleine,LIB,78833,65783,40012,39617,15345,2398,12885,8289,400,300
2015,24027,Gatineau,LIB,106424,84377,58322,57800,31076,4733,15352,5455,942,242
2015,24028,Hochelaga,NDP,103436,83088,52781,51904,15534,3555,16034,14389,1654,738
2015,24029,Honoré-Mercier,LIB,102587,79033,52340,51658,29211,6226,8478,6680,814,249
2015,24030,Hull--Aylmer,LIB,103447,79329,55831,55440,28478,4278,17472,3625,1035,552
2015,24031,Joliette,BQ,100683,86287,57798,56689,15995,5705,14566,18875,1335,213
2015,24032,Jonquière,NDP,87596,73099,49002,48103,13700,8124,14039,11202,656,382
2015,24033,La Pointe-de-l'Île,BQ,103512,84769,56138,55226,15777,4408,14777,18545,1130,589
2015,24034,La Prairie,LIB,99811,82472,58568,57572,20993,6859,13174,15107,1235,204
2015,24035,Lac-Saint-Jean,CPC,105783,85445,56204,55279,10193,18393,15735,10152,806,0
2015,24036,Lac-Saint-Louis,LIB,108795,85870,62633,62312,39965,10857,7997,1681,1812,0
2015,24037,LaSalle--Émard--Verdun,LIB,105317,84192,54586,53763,23603,3713,15566,9164,1717,0
2015,24038,Laurentides--Labelle,LIB,111357,96848,64203,63173,20277,6209,16644,18792,1251,0
2015,24039,Laurier--Sainte-Marie,NDP,107034,85056,55275,54681,12938,2242,20929,15699,1904,969
2015,24040,Laval--Les Îles,LIB,103053,82438,54888,54205,25857,9811,10710,6731,921,175
2015,24042,Lévis--Lotbinière,CPC,107593,87339,63563,62588,13562,31357,9246,7163,1124,136
2015,24041,Longueuil--Charles-LeMoyne,LIB,104895,83844,52632,51707,18301,4961,12468,13974,1510,493
2015,24043,Longueuil--Saint-Hubert,NDP,104366,85972,59138,58199,17468,5087,18171,15873,1447,153
2015,24044,Louis-Hébert,LIB,104038,81376,62371,61744,21516,16789,12850,8900,1561,128
2015,24045,Louis-Saint-Laurent,CPC,106888,92372,65535,64683,13852,32637,10296,6688,1210,0
2015,24046,Manicouagan,BQ,94766,75229,42675,42030,12343,4317,7359,17338,673,0
2015,24065,Marc-Aurèle-Fortin,LIB,96082,76396,55294,54525,22323,6498,12827,11820,1057,0
2015,24047,Mégantic--L'Érable,CPC,88745,71653,48228,47287,13308,16749,10386,5838,1006,0
2015,24048,Mirabel,BQ,103536,87938,60596,59418,15514,6020,17873,18710,1301,0
2015,24049,Montarville,LIB,95095,75693,58798,57917,18848,6284,14296,16460,1388,641
2015,24050,Montcalm,BQ,99518,83808,54235,53009,14484,5093,12431,19405,976,620
2015,24051,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,CPC,97261,78672,50020,49243,14002,14274,11918,7939,823,287
2015,24052,Mount Royal,LIB,101258,74416,48476,48051,24187,18201,3884,908,747,124
2015,24053,Notre-Dame-de-Grâce--Westmount,LIB,104410,79832,51904,51593,29755,7414,11229,1282,1581,332
2015,24054,Outremont,NDP,100916,71136,44045,43619,14597,4159,19242,3668,1575,378
2015,24055,Papineau,LIB,108977,79136,51468,50770,26391,2390,13132,6182,1443,1232
2015,24014,Pierre-Boucher--Les Patriotes--Verchères,BQ,95326,78855,60190,59390,16794,6079,14454,17007,5056,0
2015,24056,Pierrefonds--Dollard,LIB,108740,85333,58873,58505,34319,11694,9584,2043,865,0
2015,24057,Pontiac,LIB,106499,87922,63092,62625,34154,8716,14090,4337,1089,239
2015,24058,Portneuf--Jacques-Cartier,CPC,104394,88337,62840,62059,13322,27290,13686,6665,1096,0
2015,24059,Québec,LIB,96525,79593,54687,53867,15566,11737,14566,10153,1570,275
2015,24060,Repentigny,BQ,111191,92117,66390,65211,17798,7053,15167,22618,1242,1333
2015,24061,Richmond--Arthabaska,CPC,103897,85894,59529,58617,14463,18505,14213,10068,984,384
2015,24018,Rimouski-Neigette--Témiscouata--Les Basques,NDP,84809,70182,45439,44946,12594,3363,19374,8673,669,273
2015,24062,Rivière-des-Mille-Îles,LIB,102816,81528,58973,58046,18787,6099,17111,14755,1136,158
2015,24063,Rivière-du-Nord,BQ,102085,89667,57701,56657,14933,4793,17077,18157,1436,261
2015,24064,Rosemont--La Petite-Patrie,NDP,106293,84884,59123,58335,12068,2510,28672,12283,1783,1019
