Year,FED Id,FED Name,Winning Pid,Population,Electors,Total Ballots,Valid Ballots,LIB,CPC,NDP,BQ,GRN,OTH
2019,24034,La Prairie,BQ,105496,87062,62439,61553,22504,5540,4744,25707,2565,493
2019,24035,Lac-Saint-Jean,BQ,104911,84609,55382,54227,13633,12544,2753,23839,1010,448
2019,24036,Lac-Saint-Louis,LIB,108579,84074,59970,59525,34622,9083,7263,3169,4176,1212
2019,24037,LaSalle--Émard--Verdun,LIB,106766,82733,53255,52391,22803,3690,8628,12619,3583,1068
2019,24038,Laurentides--Labelle,BQ,113815,100509,66424,65406,21655,4983,4122,30625,3157,864
2019,24039,Laurier--Sainte-Marie,LIB,111835,83085,53960,53409,22306,1502,13453,12188,3225,735
2019,24040,Laval--Les Îles,LIB,108003,83496,54801,53961,26031,8816,4803,11120,2306,885
2019,24042,Lévis--Lotbinière,CPC,113528,89779,64730,63489,10761,28297,4355,15921,1908,2247
2019,24041,Longueuil--Charles-LeMoyne,LIB,106583,83920,52611,51544,20114,3811,5289,18794,2978,558
2019,24043,Longueuil--Saint-Hubert,BQ,108703,87319,60930,59844,20471,3779,5104,23061,6745,684
2019,24044,Louis-Hébert,LIB,103346,82395,62933,62060,25140,10912,4884,17375,2466,1283
2019,24045,Louis-Saint-Laurent,CPC,117238,94851,66950,65561,13571,29279,4339,14674,2155,1543
2019,24046,Manicouagan,BQ,92518,72431,41102,40390,7793,7771,1482,21768,1293,283
2019,24065,Marc-Aurèle-Fortin,LIB,101750,78632,56741,55817,24865,5423,4741,18069,2111,608
2019,24047,Mégantic--L'Érable,CPC,87233,70950,48406,47508,7388,23392,1936,12249,1258,1285
2019,24048,Mirabel,BQ,117652,96848,66316,65030,16162,5940,5219,33219,3517,973
2019,24049,Montarville,BQ,97811,77292,59970,59228,21061,4138,4984,25366,2967,712
2019,24050,Montcalm,BQ,107981,88809,56117,54806,11200,4942,3514,31791,2416,943
2019,24051,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,CPC,95527,78461,51364,50388,8210,20989,3481,16261,1030,417
2019,24052,Mount Royal,LIB,103320,73273,44262,43679,24590,10887,3609,1757,2389,447
2019,24053,Notre-Dame-de-Grâce--Westmount,LIB,104974,76649,50767,50321,28323,5759,7753,2359,5397,730
2019,24054,Outremont,LIB,102088,67842,41912,41457,19148,2707,8319,5741,5018,524
2019,24055,Papineau,LIB,110750,77341,51719,50781,25957,2155,9748,8124,3741,1056
2019,24014,Pierre-Boucher--Les Patriotes--Verchères,BQ,99787,81078,61696,60783,17333,4910,4192,31009,2955,384
2019,24056,Pierrefonds--Dollard,LIB,108587,83562,56153,55471,31305,9797,5687,4469,2866,1347
2019,24057,Pontiac,LIB,115531,92341,62508,61847,30217,10416,6503,9929,3762,1020
2019,24058,Portneuf--Jacques-Cartier,CPC,115313,93183,65925,64674,12876,28110,3758,15707,2308,1915
2019,24059,Québec,LIB,97143,79186,55249,54198,18047,8118,6220,17722,2949,1142
2019,24060,Repentigny,BQ,116066,92684,66772,65456,18111,4878,4470,34837,2289,871
2019,24061,Richmond--Arthabaska,CPC,107242,86896,59715,58638,8868,26553,2864,16539,3133,681
2019,24018,Rimouski-Neigette--Témiscouata--Les Basques,BQ,84918,70099,46525,45767,10095,4073,13050,17314,824,411
2019,24062,Rivière-des-Mille-Îles,BQ,102346,82372,59274,58184,21009,4684,5002,23629,3015,845
2019,24063,Rivière-du-Nord,BQ,112156,96054,61307,60101,13402,7120,4194,31281,3345,759
2019,24064,Rosemont--La Petite-Patrie,NDP,110677,85832,60924,60206,14576,1405,25575,14306,3539,805
2019,24066,Saint-Hyacinthe--Bagot,BQ,102693,82040,57305,55914,11903,8062,10297,23143,2031,478
2019,24067,Saint-Jean,BQ,111190,91228,63116,61875,18906,6612,4794,27750,3127,686
2019,24068,Saint-Laurent,LIB,98828,68271,40765,40147,23527,7005,4065,2845,2150,555
2019,24069,Saint-Léonard--Saint-Michel,LIB,113212,77136,46427,45434,27866,5423,2964,4351,1183,3647
2019,24070,Saint-Maurice--Champlain,LIB,110264,91779,59721,58414,23104,9542,3071,19950,1809,938
2019,24071,Salaberry--Suroît,BQ,112826,96039,64188,62903,18682,6116,5024,29975,1997,1109
2019,24072,Shefford,BQ,111139,91138,62226,60913,22605,7495,3705,23503,2814,791
2019,24073,Sherbrooke,LIB,111176,89152,60729,59726,17490,6362,16881,15470,2716,807
2019,24075,Terrebonne,BQ,111575,89062,62617,61335,17944,4640,4627,31029,2277,818
2019,24013,Thérèse-De Blainville,BQ,101840,82756,59482,58549,20988,5264,4431,24486,2710,670
2019,24076,Trois-Rivières,BQ,110515,92465,61630,60538,15774,15240,10090,17240,1492,702
2019,24074,Vaudreuil--Soulanges,LIB,119227,95659,69104,68142,32254,7804,7368,16600,3405,711
2019,24077,Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,LIB,114659,89012,53123,52522,28087,4609,8274,6899,3718,935
2019,24078,Vimy,LIB,111867,88462,56590,55533,26490,5951,4779,15455,2125,733
2019,35001,Ajax,LIB,119677,93215,61507,61020,35198,15864,7033,0,2040,885
2019,35002,Algoma--Manitoulin--Kapuskasing,NDP,79483,65906,40975,40591,9879,10625,16883,0,2192,1012
2019,35003,Aurora--Oak Ridges--Richmond Hill,CPC,115227,83340,53563,53109,22508,23568,3820,0,2154,1059
2019,35004,Barrie--Innisfil,CPC,109286,87025,54629,54253,15879,23765,8880,0,4716,1013
2019,35005,Barrie--Springwater--Oro-Medonte,CPC,100788,81414,54171,53793,16805,20981,7972,0,7066,969
2019,35006,Bay of Quinte,LIB,109735,94197,62011,61547,24099,22650,9851,0,3740,1207
2019,35007,Beaches--East York,LIB,109468,81842,57418,57078,32647,8026,12196,0,3378,831
2019,35008,Brampton Centre,LIB,102270,67890,40238,39758,18771,10696,7819,0,1685,787
2019,35009,Brampton East,LIB,122000,78728,51263,50753,24050,12125,13368,0,666,544
2019,35010,Brampton North,LIB,118180,78229,50998,50502,25970,13973,8533,0,1516,510
2019,35011,Brampton South,LIB,121188,79046,49266,48683,24085,13828,7985,0,1926,859
