Year,FED Id,FED Name,Winning Pid,Population,Electors,Total Ballots,Valid Ballots,LIB,CPC,NDP,BQ,GRN,OTH
1997,10001,Bonavista--Trinity--Conception,LIB,94842,68065,36886,36674,12929,10332,12359,0,0,1054
1997,10002,Burin--St. George's,CPC,79263,55869,30570,30383,11715,13884,4784,0,0,0
1997,10003,Gander--Grand Falls,LIB,82408,58598,25836,25681,13409,8652,3620,0,0,0
1997,10004,Humber--St. Barbe--Baie Verte,LIB,79398,55341,30401,30272,12057,13794,4421,0,0,0
1997,10005,Labrador,LIB,30379,20197,12259,12212,6182,1415,4615,0,0,0
1997,10006,St. John's East,CPC,101057,75839,44564,44350,12048,19263,12460,0,388,191
1997,10007,St. John's West,CPC,101127,73200,44206,44008,16317,20506,6866,0,0,319
1997,11001,Cardigan,LIB,30058,21887,16942,16772,7555,7456,1761,0,0,0
1997,11002,Egmont,LIB,34266,24992,17710,17552,8498,7754,1300,0,0,0
1997,11003,Hillsborough,LIB,33976,26453,18847,18670,7630,5070,5751,0,0,219
1997,11004,Malpeque,LIB,31465,24470,17672,17549,7912,7774,1863,0,0,0
1997,12001,Bras d'Or,NDP,78181,57129,42975,42553,16358,8620,17575,0,0,0
1997,12002,Cumberland--Colchester,CPC,81967,61460,42874,42659,11002,24580,6058,0,0,1019
1997,12003,Dartmouth,NDP,84269,58595,38083,37847,10298,14629,12326,0,0,594
1997,12004,Halifax,NDP,84511,65061,44796,44544,9638,12783,21837,0,0,286
1997,12005,Halifax West,NDP,82395,68989,46440,46237,14284,15691,16013,0,0,249
1997,12006,Kings--Hants,CPC,94160,73395,48197,47970,14515,23825,9101,0,0,529
1997,12007,Pictou--Antigonish--Guysborough,CPC,80601,60034,43209,42975,12851,21612,8284,0,0,228
1997,12008,Sackville--Eastern Shore,NDP,79671,61744,41103,40941,10750,17547,12433,0,0,211
1997,12009,South Shore,CPC,77900,58653,39483,39270,11397,19438,8137,0,0,298
1997,12010,Sydney--Victoria,NDP,83505,59663,44344,43944,11569,9920,22455,0,0,0
1997,12011,West Nova,CPC,72782,52441,38768,38430,9877,20416,7862,0,0,275
