Year,RO Year,FED Id,FED Name,population age 0-4,population age 5-9,population age 10-14 years,population age 15-17,population age 18-19,population age 20-24,population age 25-29,population age 30-34,population age 35-39,population age 40-44,population age 45-49,population age 50-54,population age 55-59,population age 60-64,population age 70-74,population age 75-79,population age 80-84,population age 85+,couple families with 1 child,couple families with 2 children,couple families with 3 or more children,average num of persons per family,private households by household size 1 person,private households by household size 2 persons,private households by household size 3 persons,mother tongue single responses english,mother tongue single responses french,mother tongue multiple responses english and french,knowledge of official languages english only,knowledge of official languages french only,knowledge of official languages english and french,knowledge of official languages neither english nor french,first official language spoken english,first official language spoken french,first official language spoken english and french,first official language spoken neither english nor french,first official language spoken official language minority num,home language spoken single responses english,home language spoken single responses french,population 1 year and over by mobility status 1 year ago movers,populati...over by mobility status 1 year ago migrants 250516AB,populati...obility status 1 year ago internal migrants E5731743,populati... status 1 year ago intraprovincial migrants 9412EDCF,populati...obility status 1 year ago external migrants C5DD2868,canadian citizenship,citizenship other than canadian,population 15+ by generation status 1st generation,population 15+ by generation status 2nd generation,population 15+ by generation status 3rd generation and over,first nations north american indian single identity,métis single identity,inuit single response identity,labour force 15+ by occupation not applicable,labour f...ness finance and administration occupations 2B82C03E,labour f...nd applied sciences and related occupations BF041023,labour force 15+ by occupation health occupations,labour f...pations in art culture recreation and sport E6577C9B,labour force 15+ by occupation sales and service occupations,population aged 15+ by place of work status worked at home,populati... place of work status worked outside canada B2E16A0B,populati...e of work status no fixed workplace address 90CEDF61,populati... place of work status worked at usual place C99B477F,employed...nsportation car truck or van as a passenger 0212B8C0,employed...5+ by mode of transportation public transit B18141EA,employed labour force 15+ by mode of transportation walked,employed labour force 15+ by mode of transportation bicycle,employed...15+ by mode of transportation other methods FC108373
2001,1996,10001,Bonavista - Trinity - Conception ,3675,4420,5415,3900,2445,4820,4495,5485,6405,6845,6955,6810,5340,4125,3070,2625,1915,1310,5440,5115,1555,2.9,4975,10590,6610,82385,155,10,80855,0,1975,30,82700,140,0,20,135,82430,0,5910,3510,3445,2280,65,82565,300,790,1085,67465,135,200,65,1635,3165,1045,1510,410,8095,2010,60,2850,21260,10505,1050,95,800,0
2001,1996,10002,Burin - St. George's ,2950,3735,4525,3270,2120,3740,3365,4370,5305,5720,5925,5545,4030,3140,2195,1645,1035,730,4125,3640,1180,2.9,4320,8285,5445,64545,725,85,62860,15,2645,10,64895,635,0,0,635,64795,75,5090,2630,2570,1490,55,65330,195,475,700,53095,2480,285,25,1730,2280,925,975,280,6920,1570,45,2135,16050,7160,655,95,985,10
2001,1996,10003,Gander - Grand Falls ,3305,3670,4590,3210,2135,3985,3740,4830,5500,6015,6025,5645,4480,3620,2645,2115,1280,935,4595,4145,1165,2.8,4340,9950,5690,69665,170,40,67950,0,2160,40,69945,165,15,30,170,69610,45,6725,3485,3440,2040,40,69985,165,720,970,56835,820,210,160,1235,3455,1235,1805,410,8005,1380,45,1945,19190,9075,685,45,800,40
2001,1996,10004,Humber - St. Barbe - Baie Verte ,3045,3785,4705,3100,2055,3935,3505,4545,5540,5765,5765,5350,4100,3305,2430,1690,1135,770,4320,3940,1225,2.9,3865,8565,5495,66285,130,10,64870,0,1875,30,66670,110,0,0,110,66410,10,5860,3045,3005,1750,45,66565,210,755,915,53560,1380,465,195,1230,3320,1145,1890,405,7720,1635,50,1910,18170,8215,795,70,875,45
2001,1996,10005,Labrador ,1855,2190,2330,1440,975,1915,2010,2385,2370,2340,2445,2100,1350,805,390,225,125,65,1455,1610,670,3.1,1270,2650,2145,24975,460,80,25495,95,1800,370,26915,465,30,360,475,25195,195,3665,1445,1275,880,175,27360,400,500,445,20365,1665,3960,3880,350,1680,695,390,185,3460,415,20,545,10535,4265,540,270,510,25
2001,1996,10006,St. John's East ,5365,5750,6640,4350,2975,7925,7120,7720,8695,8405,8165,7325,5755,4255,2875,2200,1610,1305,5480,5855,2135,3.0,7710,12315,7740,98525,325,60,94480,20,6005,110,100140,345,35,90,360,98470,75,13100,5820,5385,3760,435,99160,1455,3770,2605,76485,220,180,175,1540,9870,3955,3685,1755,12490,2745,210,3355,39810,18130,1580,350,1445,65
2001,1996,10007,St. John's West ,4615,5490,6715,4395,3070,7555,6285,6680,7905,8385,8010,6920,5110,3625,2665,2150,1545,1210,4900,5665,2075,3.0,7640,11290,7120,93375,210,50,89875,10,4425,75,94100,205,15,60,210,93400,30,11460,4320,4085,2655,240,93800,580,1550,1935,73980,345,185,65,1510,8790,2945,3425,1165,12670,1820,160,3125,35795,15415,1660,510,1035,35
2001,1996,11001,Cardigan ,1690,2240,2460,1570,960,1840,1625,1820,2410,2445,2295,2315,1635,1295,980,750,505,460,1325,1505,1210,3.1,2215,3450,1945,29365,305,50,28445,20,1790,10,29965,290,0,10,290,29725,20,2625,1640,1480,720,160,29775,485,1030,1305,21540,265,35,0,180,2140,650,785,240,3440,1515,45,1845,10965,5765,600,25,235,15
2001,1996,11002,Egmont ,2105,2415,2635,1665,1055,2085,2065,2275,2685,2775,2555,2485,1805,1610,1130,995,720,685,1705,1680,1020,3.0,2825,4365,2495,30485,3780,160,28395,50,6225,10,31170,3475,20,0,3485,31305,1245,3965,1325,1295,765,30,34435,235,625,1085,25770,385,50,15,245,2725,425,805,230,4195,1200,25,1745,12770,6365,600,20,355,80
2001,1996,11003,Hillsborough ,1735,1990,2200,1335,1015,2885,2360,2230,2465,2635,2620,2605,1900,1590,1220,1195,915,925,1445,1445,790,2.9,4460,4810,2335,32480,755,130,29615,25,4560,20,33445,715,50,0,740,32665,205,5860,2420,2120,985,300,33500,710,1605,2145,24540,250,45,10,180,3580,1105,1365,625,5075,820,65,1015,14955,6160,680,20,745,85
