event_number	ed_code	ballot_sequence_number	candidate_first_name	candidate_middle_name	candidate_last_name	candidate_gender_code	candidate_occupation_english	candidate_occupation_french	elected_indicator	incumbent_indicator	candidate_vote	candidate_vote_percentage	candidate_residence	candidate_province_english	candidate_province_french	candidate_party_english_name	candidate_party_french_name
3700	ED35-064	7	Neil		Spiegel	M	Business Development Manager	Gestionnaire, Développement de l'entreprise	N	N	1161	2.77	Toronto	Ontario	Ontario	Green Party	Parti Vert
3700	ED35-064	8	David		Strycharz	M	Secondary School Teacher	Enseignant à l'école secondaire	N	N	5681	13.58	Toronto	Ontario	Ontario	Progressive Conservative	Progressiste-Conservateur
3700	ED35-064	9	Wilfred		Szczesny	M	Office Worker	Travailleur de bureau	N	N	155	0.37	Mississauga	Ontario	Ontario	Communist	Communiste
3700	ED35-065	1	Joanne		Bury	F			N	N	1665	4.42	Gravenhurst	Ontario	Ontario	N.D.P.	N.P.D.
3700	ED35-065	2	Andy		Mitchell	M	Parliamentarian	Parlementaire	Y	Y	17911	47.52	Gravenhurst	Ontario	Ontario	Liberal	Libéral
3700	ED35-065	3	Keith		Montgomery	M	Investment Broker	Courtier en placements	N	N	7055	18.72	Bracebridge	Ontario	Ontario	Progressive Conservative	Progressiste-Conservateur
3700	ED35-065	4	George		Stripe	M	Contractor	Entrepreneur	N	N	9569	25.39	Restoule	Ontario	Ontario	Canadian Alliance	Alliance Canadienne
3700	ED35-065	5	Richard		Thomas	M	Farmer	Agriculteur	N	N	1495	3.97	Burk's Falls	Ontario	Ontario	Green Party	Parti Vert
3700	ED35-066	1	Garnet		Bloomfield	M	Farmer	Agriculteur	N	N	9785	23.26	Ilderton	Ontario	Ontario	Canadian Alliance	Alliance Canadienne
3700	ED35-066	2	Larry		Carruthers	M	Operator	Opérateur	N	N	128	0.3	Stratford	Ontario	Ontario	Canadian Action	Action canadienne
3700	ED35-066	3	Sam		Dinicol	M	Student	Étudiant	N	N	2800	6.65	Stratford	Ontario	Ontario	N.D.P.	N.P.D.
3700	ED35-066	4	Eric		Eberhardt	M	Small Business Owner-Part-time Farmer	Propriétaire de petite entreprise-Agriculteur à temps partiel	N	N	689	1.64	Sebringville	Ontario	Ontario	Green Party	Parti Vert
3700	ED35-066	5	Tom		Kroesbergen	M	Student	Étudiant	N	N	141	0.34	Denfield	Ontario	Ontario	No Affiliation	Aucune appartenance
3700	ED35-066	6	John	Alexander	Richardson	M	Parliamentarian	Parlementaire	Y	Y	16988	40.37	Stratford	Ontario	Ontario	Liberal	Libéral
3700	ED35-066	7	Gary		Schellenberger	M	Decorator	Décorateur	N	N	11545	27.44	Sebringville	Ontario	Ontario	Progressive Conservative	Progressiste-Conservateur
3700	ED35-067	1	Peter		Adams	M	Parliamentarian	Parlementaire	Y	Y	25310	48.41	Peterborough	Ontario	Ontario	Liberal	Libéral
3700	ED35-067	2	Bob		Bowers	M	Disabled	Handicapé	N	N	147	0.28	Peterborough	Ontario	Ontario	Independent	Indépendant
3700	ED35-067	3	Tim		Holland	M	Entertainer	Artiste de spectacle	N	N	903	1.73	Peterborough	Ontario	Ontario	Green Party	Parti Vert
3700	ED35-067	4	Darrin		Langen	M	Information Technology	Technologie de l'information	N	N	7034	13.45	Peterborough	Ontario	Ontario	Progressive Conservative	Progressiste-Conservateur
3700	ED35-067	5	Eric	John Allan	Mann	M	Farmer	Agriculteur	N	N	14924	28.54	Peterborough	Ontario	Ontario	Canadian Alliance	Alliance Canadienne
3700	ED35-067	6	Herb		Wiseman	M	Social Worker	Travailleur social	N	N	3967	7.59	Peterborough	Ontario	Ontario	N.D.P.	N.P.D.
3700	ED35-068	1	Ralph		Chatoor	M	Lawyer-Engineer	Avocat-Ingénieur	N	N	1523	3.03	Toronto	Ontario	Ontario	N.D.P.	N.P.D.
3700	ED35-068	2	Ken		Griffith	M	Sales Consultant	Conseiller des ventes	N	N	11941	23.79	Ajax	Ontario	Ontario	Canadian Alliance	Alliance Canadienne
3700	ED35-068	3	Michael		Hills	M	Educational Travel Consultant	Conseiller en voyages éducatifs	N	N	6883	13.71	Pickering	Ontario	Ontario	Progressive Conservative	Progressiste-Conservateur
3700	ED35-068	4	Dan		McTeague	M	Parliamentarian	Parlementaire	Y	Y	28834	57.44	Pickering	Ontario	Ontario	Liberal	Libéral
3700	ED35-068	5	Chris		Pennington	M	Tennis Instructor	Instructeur de tennis	N	N	1014	2.02	Pickering	Ontario	Ontario	Green Party	Parti Vert
3700	ED35-069	1	Jason		Gannon	M	Technical Support Specialist	Spécialiste du soutien technique	N	N	1897	4.77	Belleville	Ontario	Ontario	N.D.P.	N.P.D.
3700	ED35-069	2	Jim		Graham	M	Self-employed Consultant	Consultant indépendant	N	N	9707	24.43	Belleville	Ontario	Ontario	Canadian Alliance	Alliance Canadienne
3700	ED35-069	3	Dennis		Timbrell	M	Businessman	Homme d'affaires	N	N	8083	20.34	Prince Edward	Ontario	Ontario	Progressive Conservative	Progressiste-Conservateur
3700	ED35-069	4	Lyle		Vanclief	M	Parliamentarian	Parlementaire	Y	Y	20055	50.46	Prince Edward	Ontario	Ontario	Liberal	Libéral
3700	ED35-070	1	Bob		Amaron	M	Teacher	Enseignant	N	N	5287	11.32	Deep River	Ontario	Ontario	Progressive Conservative	Progressiste-Conservateur
3700	ED35-070	2	Hec		Clouthier	M	Parliamentarian	Parlementaire	N	Y	18211	39	Petawawa	Ontario	Ontario	Liberal	Libéral
3700	ED35-070	3	Cheryl		Gallant	F	Office Manager	Chef de bureau	Y	N	20634	44.18	Pembroke	Ontario	Ontario	Canadian Alliance	Alliance Canadienne
3700	ED35-070	4	André		Giordano	M	Artist	Artiste	N	N	78	0.17	Ottawa	Ontario	Ontario	Natural Law Party	Parti de la loi naturelle
3700	ED35-070	5	Thane	C.	Heins	M	Business Owner	Propriétaire d'entreprise	N	N	121	0.26	Burnstown	Ontario	Ontario	No Affiliation	Aucune appartenance
3700	ED35-070	6	Ole		Hendrickson	M	Research Manager	Directeur de la recherche	N	N	1607	3.44	Ottawa	Ontario	Ontario	N.D.P.	N.P.D.
3700	ED35-070	7	Stanley	E.	Sambey	M	Cook	Cuisinier	N	N	762	1.63	Pembroke	Ontario	Ontario	Marijuana Party	Parti Marijuana
3700	ED35-071	1	Paul		Bailey	M	Toll Collector	Péager	N	N	3320	8.76	Sarnia	Ontario	Ontario	Progressive Conservative	Progressiste-Conservateur
3700	ED35-071	10	Andre	C.	Vachon	M			N	N	32	0.08	Toronto	Ontario	Ontario	Marxist-Leninist	Marxiste-Léniniste
3700	ED35-071	2	Ed		Banninga	M	Engineer	Ingénieur	N	N	356	0.94	Sarnia	Ontario	Ontario	No Affiliation	Aucune appartenance
3700	ED35-071	3	Shannon		Bourke	F	Teacher	Enseignante	N	N	92	0.24	Brights Grove	Ontario	Ontario	Natural Law Party	Parti de la loi naturelle
3700	ED35-071	4	Dave		Christie	M	Stationary Engineer	Opérateur de machines fixes	N	N	11208	29.56	Sarnia	Ontario	Ontario	Canadian Alliance	Alliance Canadienne
3700	ED35-071	5	John		Elliott	M	Operating Engineer	Spécialiste de machines lourdes	N	N	189	0.5	Camlachie	Ontario	Ontario	Independent	Indépendant
3700	ED35-071	6	Roger		Gallaway	M	Parliamentarian	Parlementaire	Y	Y	19329	50.97	Point Edward	Ontario	Ontario	Liberal	Libéral
3700	ED35-071	7	Allan		McKeown	M	Microbiology Technical Specialist	Technicien spécialiste en microbiologie	N	N	514	1.36	Sarnia	Ontario	Ontario	Green Party	Parti Vert
3700	ED35-071	8	Rene		Phillion	M			N	N	145	0.38	Brigden	Ontario	Ontario	Canadian Action	Action canadienne
3700	ED35-071	9	Glenn		Sonier	M	CEP National Representative	Représentant national CEP	N	N	2735	7.21	Corunna	Ontario	Ontario	N.D.P.	N.P.D.
3700	ED35-072	1	Kathie		Brosemer	F	Scientist	Scientifique	N	N	776	2.09	Sault Ste. Marie	Ontario	Ontario	Green Party	Parti Vert
3700	ED35-072	2	Doug		Lawson	M	Retired	Retraité	N	N	1168	3.14	Sault Ste. Marie	Ontario	Ontario	Progressive Conservative	Progressiste-Conservateur
3700	ED35-072	3	Martin	Bruce	Odber	M	Student	Étudiant	N	N	128	0.34	Sault Ste. Marie	Ontario	Ontario	Canadian Action	Action canadienne
3700	ED35-072	4	Carmen	F.	Provenzano	M	Lawyer	Avocat	Y	Y	18867	50.79	Sault Ste. Marie	Ontario	Ontario	Liberal	Libéral
3700	ED35-072	5	David	Ronald	Rose	M	General Supervisor	Superviseur général	N	N	7006	18.86	Sault Ste. Marie	Ontario	Ontario	Canadian Alliance	Alliance Canadienne
3700	ED35-072	6	Bud		Wildman	M	Consultant	Consultant	N	N	9202	24.77	Echo Bay	Ontario	Ontario	N.D.P.	N.P.D.
